display_name,gender,aliases
洪一诺,女歌手,
洪卓立,男歌手,
侯东Holdon,男歌手,
侯明昊,男歌手,
后海大鲨鱼,组合,
后弦,男歌手,
胡66,女歌手,
胡蓓蔚,女歌手,
胡碧乔,男歌手,
胡歌,男歌手,
胡海泉,男歌手,
胡期皓,男歌手,
胡睿,男歌手,
胡莎莎,女歌手,
胡维纳,女歌手,
胡伟立,男歌手,
胡玮琪,女歌手,
胡雯,女歌手,
胡夏,男歌手,
胡彦斌,男歌手,
胡杨林,女歌手,
虎二,男歌手,
虎皮蛋,男歌手,
花儿乐队,组合,
花姐,女歌手,
花玲,女歌手,
花僮,女歌手,
花粥,女歌手,
华晨宇,男歌手,
画久,女歌手,
欢子,男歌手,
黄安,男歌手,
黄灿,女歌手,
黄灿灿,女歌手,
黄嘉千,女歌手,
黄静美,女歌手,
黄凯芹,男歌手,
黄礼格,男歌手,
黄立行,男歌手,
黄丽玲,女歌手,
黄龄,女歌手,
黄美珍,女歌手,
黄品源,男歌手,
黄绮珊,女歌手,
黄圣尧,男歌手,
黄诗扶,女歌手,
黄淑惠,女歌手,
黄婷婷,女歌手,
黄文文,女歌手,
黄霄雲,女歌手,
黄小琥,女歌手,
黄晓明,男歌手,
黄雅莉,女歌手,
黄伊汶,女歌手,
黄义达,男歌手,
黄奕,女歌手,
黄英,女歌手,
黄莺莺,女歌手,
黄勇,男歌手,
黄韵玲,女歌手,
黄征,男歌手,
黄子弘凡,男歌手,
黄子韬,男歌手,
辉子,男歌手,
回春丹,组合,
回音哥,男歌手,
火风,男歌手,
火鸡,男歌手,
火箭少女101,女歌手,
火星电台,组合,
霍尊,男歌手,
吉克隽逸,女歌手,
纪佳松,男歌手,
季彦霖,女歌手,
夹子道,组合,
茄子蛋,组合,
家家,女歌手,
家园计划,组合,
嘉滢,女歌手,
贾乃亮,男歌手,
贾添,女歌手,
简弘亦,男歌手,
简约情人,组合,
江潮,男歌手,
江辰,男歌手,
江湖乐队,组合,
江惠莲,女歌手,
江蕙,女歌手,
江美琪,女歌手,
江楠,女歌手,
江若琳,女歌手,
江珊,女歌手,
江涛,男歌手,
江映蓉,女歌手,
江语晨,女歌手,
姜潮,男歌手,
姜姜,女歌手,
姜铭杨,男歌手,
姜昕,女歌手,
姜玉阳,男歌手,
姜育恒,男歌手,
姜云升,男歌手,
讲者,组合,
蒋大为,男歌手,
蒋敦豪,男歌手,
蒋蒋,男歌手,
蒋小呢,女歌手,
蒋一侨,女歌手,
匠音夫妇,组合,
降央卓玛,女歌手,
焦迈奇,男歌手,
叫宝宝,女歌手,
皆大欢喜,组合,
解伟苓,女歌手,
解忧草,女歌手,
今时古梦,组合,
金池,女歌手,
金古阿嘎,女歌手,
金贵晟,男歌手,
金海心,女歌手,
金铭,女歌手,
金南玲,女歌手,
金润吉,男歌手,
金莎,女歌手,
金天,女歌手,
金玟岐,女歌手,
金弦,男歌手,
金渔,女歌手,
金钰儿,女歌手,
金志文,男歌手,
锦零,女歌手,
锦绣二重唱,组合,
精气神制作,组合,
井迪,女歌手,
井迪儿,女歌手,
井胧,男歌手,
景向谁依,男歌手,
镜予歌,组合,
九连真人,组合,
九阴真经,组合,
玖壹壹,组合,
玖月奇迹,组合,
就是南方凯,男歌手,
居来提,男歌手,
鞠婧祎,女歌手,
鞠文娴,女歌手,
橘子妹,女歌手,
咖啡因公园,组合,
咖啡因乐队,组合,
咖菲,女歌手,
卡奇社,组合,
卡西恩Cacien,女歌手,
卡修Rui,男歌手,
凯瑟喵,女歌手,
凯小晴,女歌手,
侃迪kandi,男歌手,
侃侃,女歌手,
康康,男歌手,
康士坦的变化球,组合,
康树龙,男歌手,
康子奇,男歌手,
柯柯柯啊,男歌手,
柯泯薰,女歌手,
柯暮卿,男歌手,
柯受良,男歌手,
柯以敏,女歌手,
颗粒,女歌手,
可儿,组合,
可米小子,组合,
可歆,女歌手,
可泽,女歌手,
克然Eli,男歌手,
孔令奇,男歌手,
孔雀眼,组合,
孔雪儿,女歌手,
枯木逢春,男歌手,
苦鬼乐队,组合,
快乐家族,组合,
快乐男生,组合,
筷子兄弟,组合,
邝美云,女歌手,
邝氏姐妹,组合,
昆玉,女歌手,
赖仔Morris,男歌手,
兰音Reine,女歌手,
蓝波,男歌手,
蓝心羽,女歌手,
浪花兄弟,组合,
浪味仙贝,组合,
老番茄,男歌手,
老狼,男歌手,
老猫,组合,
老王乐队,组合,
乐乐,男歌手,
乐正绫,女歌手,
雷佳,女歌手,
雷同二友,组合,
雷雨心,女歌手,
棱镜乐队,组合,
哩哩,女歌手,
黎明,男歌手,
黎瑞恩,女歌手,
李秉成,男歌手,
李常超(Lao乾妈),男歌手,
李晟,女歌手,
李谷一,女歌手,
李昊,男歌手,
李昊瀚,男歌手,
李佳隆,男歌手,
李佳薇,女歌手,
李嘉格,女歌手,
李健,男歌手,
李玖哲,男歌手,
李俊,女歌手,
李克勤,男歌手,
李丽芬,女歌手,
李玲玉,女歌手,
李铭辰,男歌手,
李琦,男歌手,
李荣浩,男歌手,
李润祺,男歌手,
李莎旻子,女歌手,
李上安,女歌手,
李圣杰,男歌手,
李玟,女歌手,
李晓杰,男歌手,
李心洁,女歌手,
李昕融,女歌手,
李幸倪,女歌手,
李雪萌,女歌手,
李雅微,女歌手,
李亚男,女歌手,
李翊君,女歌手,
李宇春,女歌手,
李玉刚,男歌手,
李毓芬,女歌手,
李昀锐,男歌手,
李知遥,女歌手,
李紫昕,女歌手,
李宗盛,男歌手,
利得汇,女歌手,
戾格,男歌手,
连麻Swimming,男歌手,
连诗雅,女歌手,
恋恋故人难,组合,
梁博,男歌手,
梁汉文,男歌手,
梁静茹,女歌手,
梁心颐,女歌手,
梁咏琪,女歌手,
廖俊涛,男歌手,
廖智慧,女歌手,
林宝馨,女歌手,
林采欣,女歌手,
林达浪,男歌手,
林凡,女歌手,
林峯,男歌手,
林慧萍,女歌手,
林家谦,男歌手,
林俊杰,男歌手,
林倛玉,男歌手,
林希儿,女歌手,
林欣彤,女歌手,
林依晨,女歌手,
林忆莲,女歌手,
林宥嘉,男歌手,
林志美,女歌手,
林志炫,男歌手,
林子祥,男歌手,
泠鸢Yousa,女歌手,
聆云音乐,组合,
零点乐队,组合,
刘柏辛Lexie,女歌手,
刘大拿,女歌手,
刘大壮,男歌手,
刘丹萌,女歌手,
刘德华,男歌手,华仔|Andy Lau
刘端端,男歌手,
刘芳,女歌手,
刘凤瑶,男歌手,
刘欢,男歌手,
刘洁,女歌手,
刘珂矣,女歌手,
刘莉旻,女歌手,
刘美君,女歌手,
刘美麟,女歌手,
刘沁,女歌手,
刘人语,女歌手,
刘瑞琦,女歌手,
刘若英,女歌手,
刘森,男歌手,
刘诗诗,女歌手,
刘思达,男歌手,
刘思涵,女歌手,
刘思鉴,男歌手,
刘思思,女歌手,
刘涛,女歌手,
刘伟德,男歌手,
刘惜君,女歌手,
刘小慧,女歌手,
刘宇,男歌手,
刘宇宁,男歌手,
刘哲,男歌手,
刘至佳,女歌手,
柳爽,男歌手,
六哲,男歌手,
龙飞龙泽,组合,
龙井说唱,组合,
龙宽九段,组合,
龙梅子,女歌手,
卢冠廷,男歌手,
卢广仲,男歌手,
卢卢快闭嘴,女歌手,
卢巧音,女歌手,
陆虎,男歌手,
鹿晗,男歌手,
鹿先森乐队,组合,
路飞文,女歌手,
吕方,男歌手,
吕富贵,男歌手,
吕口口,女歌手,
旅行团乐队,组合,
鸾凤鸣原创音乐团队,组合,
鸾音社,组合,
伦桑,男歌手,
轮回乐队,组合,
罗大佑,男歌手,
罗晋,男歌手,
罗文,男歌手,
罗震环,女歌手,
罗志祥,男歌手,
洛少爷,组合,
洛天依,女歌手,
麻园诗人,组合,
马頔,男歌手,
马嘉祺,男歌手,
马健涛,男歌手,
马良,男歌手,
马马,女歌手,
马赛克,组合,
马思唯,男歌手,
马天宇,男歌手,
马鑫,组合,
马伊琍,女歌手,
马吟吟,女歌手,
马英伦,男歌手,
马雨阳,男歌手,
马郁,女歌手,
马越敏,女歌手,
麦家瑜,女歌手,
麦浚龙,男歌手,
麦田守望者,组合,
麦小兜,女歌手,
满汉全席,组合,
满江,男歌手,
满舒克,男歌手,
芒果食堂,组合,
毛阿敏,女歌手,
毛不易,男歌手,
毛毛不插电,女歌手,
毛宁,男歌手,
毛晓彤,女歌手,
梅艳芳,女歌手,
美秀集团,组合,
萌萌哒天团,组合,
猛虎巧克力,组合,
孟凡明,男歌手,
孟慧圆,女歌手,
孟佳,女歌手,
孟庭苇,女歌手,
孟维来,男歌手,
梦飞船,组合,
梦涵,女歌手,
梦璟SAYA,女歌手,
梦然,女歌手,
梦之旅,组合,
麋先生,组合,
米线,女歌手,
蜜雪冰城,组合,
蜜雪薇琪,组合,
棉花糖,组合,
棉子,女歌手,
面孔乐队,组合,
喵☆酱,女歌手,
冥月,女歌手,
谟西Mercy,男歌手,
魔动闪霸,男歌手,
茉莉,女歌手,
莫尔根,女歌手,
莫叫姐姐,女歌手,
莫文蔚,女歌手,
莫西子诗,男歌手,
莫艳琳,女歌手,
墨明棋妙,组合,
牟凡,女歌手,
某幻君,男歌手,
木秦,女歌手,
木小雅,女歌手,
沐霏,女歌手,
沐可儿,女歌手,
慕寒,男歌手,
慕容晓晓,女歌手,
哪吒乐队,组合,
那奇沃夫,男歌手,
那艺娜,女歌手,
那英,女歌手,
纳豆nado,女歌手,
纳兰,女歌手,
娜美,女歌手,
男才女貌,组合,
南二巷乐队,组合,
南方二重唱,组合,
南风,男歌手,
南风ZJN,男歌手,
南瓜妮歌迷俱乐部,组合,
南合文斗,组合,
南妮,女歌手,
南拳妈妈,组合,
南西肯恩,组合,
南游记乐队,组合,
南征北战NZBZ,组合,
脑浊乐队,组合,
泥鳅Niko,男歌手,
泥鳅Zinco,男歌手,
倪浩毅,男歌手,
倪金威,男歌手,
倪莫问,女歌手,
倪子冈,男歌手,
霓虹花园,组合,
你的上好佳,女歌手,
匿名情书,女歌手,
宁桓宇,男歌手,
宁静,女歌手,
宁梦恬,女歌手,
妞妞合唱团,组合,
牛佳钰,女歌手,
牛奶咖啡,组合,
扭曲机器,组合,
农夫,组合,
女子十二乐坊,组合,
诺言Jason,男歌手,
糯米Nomi,女歌手,
哦漏,男歌手,
欧汉声,男歌手,
欧豪,男歌手,
欧姐,女歌手,
欧开合唱团,组合,
欧倩怡,女歌手,
欧阳朵,女歌手,
欧阳菲菲,女歌手,
欧阳靖,男歌手,
欧阳娜娜,女歌手,
欧阳尚尚,男歌手,
欧阳潇枫,男歌手,
欧阳耀莹,女歌手,
偶尔,女歌手,
偶像练习生,组合,
帕尔哈提,男歌手,
帕特龙,男歌手,
怕胖团,组合,
排骨教主,男歌手,
派美眉,女歌手,
派伟俊,男歌手,
派星儿,女歌手,
潘安邦,男歌手,
潘辰,女歌手,
潘广益,男歌手,
潘虹,女歌手,
潘虹樾,女歌手,
潘嘉丽,女歌手,
潘美辰,女歌手,
潘玮柏,男歌手,
潘悦晨,女歌手,
潘越云,女歌手,
潘韵淇,女歌手,
盘尼西林,组合,
庞龙,男歌手,
庞雪倩,女歌手,
胖胖胖,男歌手,
嘭心,组合,
彭佳慧,女歌手,
彭家丽,女歌手,
彭健新,男歌手,
彭钧,男歌手,
彭丽丽,女歌手,
彭丽媛,女歌手,
彭羚,女歌手,
彭青,女歌手,
彭十六,女歌手,
彭席彦,女歌手,
彭野,男歌手,
彭于晏,男歌手,
彭雨菲,女歌手,
鹏鹏音乐,男歌手,
鹏泊,男歌手,
痞克四,组合,
飘乐队,女歌手,
拼音师,男歌手,
品冠,男歌手,
平安,男歌手,
平生不晚,女歌手,
萍萍,女歌手,
坡上村,组合,
葡萄不愤怒乐队,组合,
朴冉,男歌手,
朴树,男歌手,
普信主义,男歌手,
七朵组合,组合,
七夕,女歌手,
七喜,女歌手,
七月,组合,
戚琦,女歌手,
戚薇,女歌手,
漆柚,女歌手,
祁隆,男歌手,
祁紫檀,女歌手,
齐晨,男歌手,
齐栾,女歌手,
齐秦,男歌手,
齐一,男歌手,
齐豫,女歌手,
齐悦,女歌手,
奇然,男歌手,
祈Inory,女歌手,
麒麟Baby,组合,
气运联盟,组合,
恰恰恰恰恰,女歌手,
千百惠,女歌手,
千百顺,女歌手,
千月兔,女歌手,
前男友,男歌手,
钱润玉,女歌手,
钱薇娟,女歌手,
钱正昊,男歌手,
浅笑,男歌手,
浅忆,男歌手,
茜西,女歌手,
强辩乐团,组合,
强东玥,女歌手,
乔佳旭,男歌手,
乔任梁,男歌手,
乔杉,男歌手,
乔洋,男歌手,
乔竹禾,男歌手,
秦凡淇,女歌手,
秦奋,男歌手,
秦海清,男歌手,
青春美少女,组合,
青鸟飞鱼,组合,
青蛙乐队,组合,
青燕子演唱组,组合,
轻松玩,组合,
清晨大攀,男歌手,
清醒乐队,组合,
情词尧,女歌手,
晴晴,女歌手,
晴小瑶,女歌手,
晴愔,女歌手,
庆庆,女歌手,
丘丘合唱团,组合,
邱永传,男歌手,
秋水,男歌手,
裘德,男歌手,
裘海正,女歌手,
区瑞强,男歌手,
区文诗,女歌手,
区子琳,女歌手,
曲丹,女歌手,
曲甲,男歌手,
曲酷,组合,
曲婉婷,女歌手,
曲肖冰,女歌手,
瞿颖,女歌手,
圈9,女歌手,
圈妹,女歌手,
群星,组合,
饶威,男歌手,
热地乐队,组合,
人声兄弟,组合,
人衣大人,男歌手,
任家萱,女歌手,
任嘉伦,男歌手,
任洁玲,女歌手,
任静,女歌手,
任妙音,女歌手,
任敏,女歌手,
任然,女歌手,
任书怀,男歌手,
任舒瞳,女歌手,
任素汐,女歌手,
任贤齐,男歌手,
任子墨,男歌手,
戎一Neo,男歌手,
容云,女歌手,
容中尔甲,男歌手,
容祖儿,女歌手,
阮豆,女歌手,
阮妍霏,女歌手,
